Room,Box,NIDevAnalog,ChAnalog,VoltRange,NIDevDigital,ChDigital,ChTrigger,ChOffset,NIDevCounter,ChCounter,Arduino,Camera,MatlabCamera
110,0,2,0 1 2,,1,0 1 2 3,,,0,,10,0,
110,1,2,3 4 5,,1,4 5 6 7,,,0,,11,1,
110,2,2,6 7 16,,1,8 9 10 11,,,0,,12,2,
110,3,2,17 18 19,,1,12 13 14 15,,,0,,13,3,
110,4,2,20 21 22,,1,16 17 18 19,,,0,,14,4,
110,5,2,23 32 33,,1,20 21 22 23,,,0,,15,5,
110,6,2,34 35 36,,1,24 25 26 27,,,0,,16,6,
110,7,2,37 38 39,,1,28 29 30 31,,,0,,17,7,
110,20,2,48 49 50,,2,0,,,0,,,,
110,21,2,51 52 53,,2,1,,,0,,,,
110,22,2,54 55 65,,2,2,,,0,,,,
110,23,2,66 67 68,,2,3,,,0,,,,
110,30,2,69 70 71,,0,,,,0,,,,
110,31,1,20 21 22,,0,,,,0,,,,
110,300,3,0 1 2,,0,,,,0,,,,
110,902,2,71,,0,,,,0,,,,
110,92,2,64,,0,,,,0,,,,
110,91,1,0,,0,,,,0,,,,
110,903,3,3,,0,,,,0,,,,
514,4,1,0 1 2 3,,1,0 1 2 3 4,,,0,,,,
514,5,1,4 5 6 7,,1,8 9 10 11 12,,,0,,,,
514,6,1,16 17 18 19,,1,13 14 15 16 17,,,0,,,,
514,7,1,20 21 22 23,,1,18 19 20 21 22,,,0,,,,
111,0,1,0 1 2 3,,0,,,,0,,,,4
111,1,1,4 5 6 7,,0,,,,0,,,,1
111,2,1,16 17 18 19,,0,,,,0,,,,5
111,3,1,20 21 22 23,,0,,,,0,,,,3
111,4,2,0 1 2 3,,0,,,,0,,,,2
515,0,4,0 1 2 3,,0,,,,0,,,,
515,1,4,4 5 6 7,,0,,,,0,,,,
RigSlice,0,1,0 1 2,,0,,2,1,0,,,,
RigOpto,1,2,0 1 2 3 4,,0,,,,0,,,,
Tye2p,0,1,0,,0,,,,0,,,,
TyeHeadFixBoxes,0,2,0 1 2,,0,,,,2,1,,,
TyeHeadFixBoxes,1,3,0 1 2,,0,,,,3,1,,,
TyeHeadFixBoxes,2,2,5 6 7,,0,,,,2,0,,,
TyeHeadFixBoxes,3,3,5 6 7,,0,,,,3,0,,,
TyeHomeCageOpto,0,2,0 1 2,,0,,,,0,,,,
