Subject,Room,Box,Group
4191,TyeHomeCageOpto,0,
4192,TyeHomeCageOpto,0,
4293,TyeHomeCageOpto,0,
4261,TyeHomeCageOpto,0,
4280,TyeHomeCageOpto,0,
4324,TyeHomeCageOpto,0,
4325,TyeHomeCageOpto,0,
4326,TyeHomeCageOpto,0,
4327,TyeHomeCageOpto,0,
4202,TyeHomeCageOpto,0,
4276,TyeHomeCageOpto,0,
4277,TyeHomeCageOpto,0,
4278,TyeHomeCageOpto,0,
4318,TyeHomeCageOpto,0,
4319,TyeHomeCageOpto,0,
4320,TyeHomeCageOpto,0,
4336,TyeHomeCageOpto,0,
4337,TyeHomeCageOpto,0,
4425,TyeHomeCageOpto,0,
4438,TyeHomeCageOpto,0,
4195,TyeHomeCageOpto,0,
4197,TyeHomeCageOpto,0,
4198,TyeHomeCageOpto,0,
4199,TyeHomeCageOpto,0,
4200,TyeHomeCageOpto,0,
4201,TyeHomeCageOpto,0,
4282,TyeHomeCageOpto,0,
4284,TyeHomeCageOpto,0,
4159,TyeHeadFixBoxes,0,
4162,TyeHeadFixBoxes,0,
4283,TyeHeadFixBoxes,0,
4444,TyeHeadFixBoxes,0,
TestHome,TyeHomeCageOpto,0,
3621,TyeHeadFixBoxes,2,new3498
3633,TyeHeadFixBoxes,0,new3633
3641,TyeHeadFixBoxes,1,new3633
3635,TyeHeadFixBoxes,2,new3633
3639,TyeHeadFixBoxes,3,new3633
3620,TyeHeadFixBoxes,0,new3620
3634,TyeHeadFixBoxes,1,new3620
3658,TyeHeadFixBoxes,2,new3620
3504,TyeHeadFixBoxes,3,new3620
3640,TyeHeadFixBoxes,0,new3640
3656,TyeHeadFixBoxes,1,new3640
3654,TyeHeadFixBoxes,2,new3640
3655,TyeHeadFixBoxes,3,new3640
3515,TyeHeadFixBoxes,3,
3517,TyeHeadFixBoxes,0,
3618,TyeHeadFixBoxes,0,
3619,TyeHeadFixBoxes,0,
OpSilentLimbo,HeadFix2p,0,
TestShutter,HeadFix2p,0,
EyalTest,HeadFixBox,0,
5293,HeadFixBox,2,
7331,HeadFixBox,0,
7332,HeadFixBox,0,
5295,HeadFixBox,1,
7336,HeadFixBox,1,
7348,HeadFixBox,1,
7349,HeadFixBox,1,
1372,HeadFixBox,2,
1375,HeadFixBox,2,
1378,HeadFixBox,0,
363,HeadFixBox,3,
5549,HeadFixBox,3,
7000,HeadFix2p,0,
1039,HeadFix2p,0,
Pollen,HeadFix2p,0,
GoLimbo,HeadFix2p,0,
1275,HeadFix2p,0,
1318,HeadFix2p,0,
1319,HeadFix2p,0,
5929,HeadFix2p,0,
5930,HeadFix2p,0,
1874,HeadFix2p,0,
1875,HeadFix2p,0,
3985,HeadFixBox,1,
3178,HeadFix2p,0,
3747,HeadFix2p,0,
3629,HeadFix2p,0,
3632,HeadFix2p,0,
1314,HeadFixBox,1,
1071,HeadFixBox,0,
1316,461,0,
282,HeadFixBox,0,
793_PAG,461,0,
3615,HeadFixBox,0,
3926,HeadFixBox,1,
3933,HeadFixBox,0,
CJTest,HeadFix2p,0,
CJTestOp,HeadFix2p,0,
1311,HeadFix2p,0,
1317,HeadFix2p,0,
507,HeadFixBox,0,
6112,HeadFixBox,0,
Ning,HeadFix2p,0,
1315,HeadFixBox,1,
6999,HeadFixBox,1,
7265,HeadFixBox,1,
5251,HeadFixBox,0,
5252,HeadFixBox,0,
7264,HeadFixBox,1,
7328,HeadFixBox,1,
7330,HeadFixBox,1,
7815,HeadFix2p,0,
7819,HeadFix2p,0,
399,HeadFixBox,0,
BLA,HeadFix2p,0,
1056,HeadFixBox,1,
1058,HeadFixBox,1,
1253,HeadFixBox,0,
1254,HeadFixBox,0,
1255,HeadFixBox,1,
990,HeadFixBox,2,
991,HeadFixBox,2,
993,HeadFixBox,2,
994,HeadFixBox,2,
1187,HeadFix2p,0,
1057,HeadFixBox,0,
1571,HeadFixBox,0,
1572,HeadFixBox,1,
791,HeadFixBox,0,
7346,HeadFix2p,0,
1251,HeadFixBox,0,
old1252_20171207,HeadFixBox,1,
old1252_20171208,HeadFixBox,1,
1252,HeadFixBox,0,
1571,HeadFixBox,0,
1572,HeadFixBox,1,
360,HeadFix2p,0,
1189,HeadFix2p,0,
1766,HeadFixBox,3,
1188,HeadFix2p,0,
1192,HeadFix2p,0,
1193,HeadFix2p,0,
1527,HeadFixBox,1,
1256,HeadFixBox,2,
1259,HeadFixBox,3,
1516,HeadFixBox,2,
1517,HeadFixBox,3,
1519,HeadFixBox,2,
1520,HeadFixBox,3,
1525,HeadFixBox,2,
1526,HeadFixBox,3,
1673,HeadFixBox,1,
1675,HeadFixBox,0,
2358,HeadFixBox,1,
1655,HeadFixBox,3,
1657,HeadFixBox,2,
1658,HeadFixBox,0,
1515,HeadFixBox,1,
1654,HeadFixBox,0,
1518,HeadFixBox,1,
TestSlice,RigSlice,0,
TestOpto,RigOpto,1,
1676,TyeHeadFixBoxes,0,
3501,TyeHeadFixBoxes,0,
3625,TyeHeadFixBoxes,3,
3503,TyeHeadFixBoxes,2,
